[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	H2B Imported: Archery_FirstAge_Level1_Cube.h2b
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	H2B Imported: Mountain_Group_1_Cube.h2b
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[INFO]	H2B Imported: Mountain_Group_2_Cube.h2b
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[MESSAGE]	Importing of .H2B File Data Complete.
[Fri Jan 20 18:18:26 2023] ThreadID[32228]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	Start Program.
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	[MESSAGE]	Begin Reading Game Level Text File.
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	[INFO]	Model Detected: Mountain_Group_1_Cube.039
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	[INFO]	Location: X -1.736400 Y -0.000000 Z 3.566200
[Fri Jan 20 18:19:48 2023] ThreadID[44332]	[INFO]	Model Detected: Mountain_Group_2_Cube.044
